Meeting ID,Topic,Start Time,End Time,User Email,Duration (Minutes),Participants
8675309124,John von Neumann's Personal Meeting Room,03/15/2023 09:15:19 AM,03/15/2023 12:33:03 PM,email@email.com,212,109
,,,,,,
Name (Original Name),User Email,Total Duration (Minutes),Guest,,,
John von Neumann,john@vonneumann.com,212,No,,,
Albert,,207,Yes,,,
Stephen Hawking,,183,Yes,,,
Marie,,182,Yes,,,
Richard Feynman,,182,Yes,,,
Niels Bohr,,182,Yes,,,
Galileo Galilei,,34,Yes,,,
Max Planck,,180,Yes,,,
Enrico Fermi,,180,Yes,,,
Jeremy Bentham,,180,Yes,,,
